vertex,r2
1.031700000000000000e+04,6.325869560241699219e-01
1.032700000000000000e+04,4.779110550880432129e-01
1.037600000000000000e+04,5.162055492401123047e-01
1.039500000000000000e+04,4.679887890815734863e-01
1.042000000000000000e+04,5.544708967208862305e-01
1.044400000000000000e+04,5.754683017730712891e-01
1.052300000000000000e+04,5.903266668319702148e-01
1.056700000000000000e+04,4.579111337661743164e-01
1.057900000000000000e+04,6.104768514633178711e-01
1.075300000000000000e+04,5.405228137969970703e-01
1.082200000000000000e+04,3.534763455390930176e-01
1.083000000000000000e+04,5.549392700195312500e-01
1.088700000000000000e+04,4.489324688911437988e-01
1.100900000000000000e+04,5.559168457984924316e-01
1.111800000000000000e+04,4.929407238960266113e-01
1.113000000000000000e+04,7.754337787628173828e-01
1.119900000000000000e+04,6.909695863723754883e-01
1.130800000000000000e+04,6.094679832458496094e-01
1.133100000000000000e+04,6.348063945770263672e-01
1.134200000000000000e+04,4.449494481086730957e-01
1.136400000000000000e+04,7.541626691818237305e-01
1.140600000000000000e+04,5.832676887512207031e-01
1.156200000000000000e+04,6.291924118995666504e-01
1.158200000000000000e+04,6.012696027755737305e-01
1.160300000000000000e+04,5.597232580184936523e-01
1.162800000000000000e+04,5.663611888885498047e-01
1.165200000000000000e+04,8.206063508987426758e-01
1.175600000000000000e+04,7.765965461730957031e-01
1.181200000000000000e+04,5.952520370483398438e-01
1.185700000000000000e+04,7.187033295631408691e-01
1.211000000000000000e+04,8.397488594055175781e-01
1.214300000000000000e+04,7.146458625793457031e-01
1.216200000000000000e+04,8.888106346130371094e-01
1.250500000000000000e+04,7.313842773437500000e-01
1.256600000000000000e+04,8.020386695861816406e-01
1.259200000000000000e+04,8.779517412185668945e-01
1.259300000000000000e+04,8.602085113525390625e-01
1.259900000000000000e+04,8.826587200164794922e-01
1.266400000000000000e+04,7.491433620452880859e-01
1.267300000000000000e+04,7.688181400299072266e-01
1.268700000000000000e+04,7.673746347427368164e-01
1.270000000000000000e+04,7.700509428977966309e-01
1.277000000000000000e+04,7.542759180068969727e-01
1.289700000000000000e+04,8.308706879615783691e-01
