vertex,r2
8.590000000000000000e+02,5.496115088462829590e-01
8.600000000000000000e+02,5.546453595161437988e-01
8.610000000000000000e+02,5.862516760826110840e-01
8.620000000000000000e+02,4.390702843666076660e-01
8.630000000000000000e+02,3.203358650207519531e-01
9.000000000000000000e+02,6.116110682487487793e-01
9.010000000000000000e+02,6.630638241767883301e-01
9.020000000000000000e+02,5.994050502777099609e-01
9.030000000000000000e+02,4.572102427482604980e-01
9.040000000000000000e+02,3.663834929466247559e-01
9.400000000000000000e+02,5.672599077224731445e-01
9.410000000000000000e+02,6.432744264602661133e-01
9.420000000000000000e+02,5.797900557518005371e-01
9.430000000000000000e+02,4.072867035865783691e-01
9.440000000000000000e+02,4.046265482902526855e-01
9.790000000000000000e+02,5.608175992965698242e-01
9.800000000000000000e+02,6.240007877349853516e-01
9.810000000000000000e+02,5.107604861259460449e-01
9.820000000000000000e+02,3.920715451240539551e-01
9.830000000000000000e+02,3.359810113906860352e-01
1.017000000000000000e+03,4.912086725234985352e-01
1.018000000000000000e+03,5.548651218414306641e-01
1.019000000000000000e+03,5.075443983078002930e-01
1.020000000000000000e+03,4.419260025024414062e-01
1.021000000000000000e+03,3.339835405349731445e-01
1.022000000000000000e+03,3.822958469390869141e-01
1.054000000000000000e+03,4.878903627395629883e-01
1.055000000000000000e+03,5.119774341583251953e-01
1.056000000000000000e+03,5.501550436019897461e-01
1.057000000000000000e+03,5.155803561210632324e-01
1.058000000000000000e+03,4.199396371841430664e-01
1.059000000000000000e+03,3.789842128753662109e-01
1.060000000000000000e+03,4.692662954330444336e-01
1.090000000000000000e+03,4.787117242813110352e-01
1.091000000000000000e+03,4.795781373977661133e-01
1.092000000000000000e+03,5.312376022338867188e-01
1.093000000000000000e+03,5.276836156845092773e-01
1.094000000000000000e+03,4.760503172874450684e-01
1.095000000000000000e+03,4.150785207748413086e-01
1.096000000000000000e+03,4.271239042282104492e-01
1.125000000000000000e+03,4.383435249328613281e-01
1.126000000000000000e+03,5.029432773590087891e-01
1.127000000000000000e+03,4.922934174537658691e-01
1.128000000000000000e+03,5.012722015380859375e-01
1.129000000000000000e+03,4.734348654747009277e-01
