subject,task,acq,run,tc,roi,betas,n_repeats
sub-01,1back,ctg,01,0113020203,46,"[0.09949687868356705, 0.2757415771484375, 0.14776773750782013, 0.09148536622524261, 0.3516981601715088, 0.0932193249464035, 0.2829618752002716, 0.11348559707403183, 0.16042979061603546, 0.11321607977151871, 0.10048724710941315, 0.022389352321624756]",4
sub-01,1back,ctg,01,0113020203,47s,"[0.140384703874588, 0.24317567050457, 0.11045005172491074, 0.17829583585262299, 0.08553655445575714, 0.1546354591846466, 0.17556478083133698, 0.0990273654460907, 0.15675967931747437, 0.12610705196857452, 0.04954483360052109, 0.0868685320019722]",4
sub-01,1back,ctg,01,0113020203,9-46d,"[-0.3192955553531647, 0.22438524663448334, -0.1398984044790268, -0.026778096333146095, 0.09041877090930939, 0.0020884955301880836, 0.00022005052596796304, 0.014980779029428959, -0.05727257579565048, 0.00903504528105259, 0.03413701802492142, -0.10852039605379105]",4
sub-01,1back,ctg,01,0210021102,10pp,"[-0.17084428668022156, 0.13281191885471344, -0.14760516583919525, -0.008738571777939796, -0.01848648488521576, -0.0009925573831424117, -0.06723755598068237, -0.013968638144433498, -0.004075994715094566, -0.006047935225069523, 0.02167077176272869, -0.0027587527874857187]",4
sub-01,1back,ctg,01,0210021102,10v,"[0.11789189279079437, 0.0051727634854614735, 0.05280110239982605, 0.059869445860385895, 0.05246468260884285, 0.06272833794355392, 0.02221810817718506, 0.02537907473742962, 0.06304678320884705, 0.017461419105529785, 0.06742452085018158, -0.009443671442568302]",4
sub-01,1back,ctg,01,0210021102,46,"[-0.285540372133255, -0.12731154263019562, -0.08076154440641403, -0.1984909176826477, 0.01687075011432171, -0.2430533766746521, -0.049549952149391174, -0.26973116397857666, -0.030579835176467896, -0.25860270857810974, -0.041541118174791336, -0.3186590075492859]",4
sub-01,1back,ctg,01,0210021102,47s,"[0.09408081322908401, -0.022130023688077927, 0.0808340311050415, 0.007940666750073433, 0.11222384870052338, 0.008155726827681065, 0.11238347738981247, -0.020427998155355453, 0.05709611624479294, 0.009035706520080566, -0.07621990144252777, 0.006885771173983812]",4
sub-01,1back,ctg,01,0210021102,9-46d,"[-0.49738016724586487, 0.14661619067192078, -0.39277759194374084, -0.1390828788280487, -0.08901697397232056, -0.17838233709335327, -0.12291897088289261, -0.1840313971042633, -0.11410112679004669, -0.15428447723388672, -0.06961465626955032, -0.23404279351234436]",4
sub-01,1back,ctg,01,0300100011,10pp,"[-0.7464646697044373, -0.025707412511110306, -0.4773496985435486, -0.29156696796417236, -0.36543986201286316, -0.297183096408844, -0.25988680124282837, -0.3143077492713928, -0.242985337972641, -0.2741389572620392, -0.12471985816955566, -0.2916560769081116]",4
sub-01,1back,ctg,01,0300100011,10v,"[-0.3308602571487427, 0.10721012949943542, -0.1246965229511261, -0.01772402599453926, -0.008208166807889938, 0.018620623275637627, 0.0007103655370883644, 0.039538439363241196, 0.08345609158277512, 0.06690042465925217, 0.08682969957590103, 0.10375793278217316]",4
sub-01,1back,ctg,01,0300100011,46,"[-0.292845219373703, 0.0500141903758049, -0.22963161766529083, -0.14758804440498352, -0.07232137024402618, -0.15724384784698486, -0.037532903254032135, -0.26080065965652466, 0.0017771674320101738, -0.20217332243919373, -0.08857747912406921, -0.18887965381145477]",4
sub-01,1back,ctg,01,0300100011,47s,"[-0.3330482542514801, 0.13429149985313416, -0.25255364179611206, -0.01769135147333145, -0.08591703325510025, -0.004993573296815157, -0.02600809372961521, -0.0008288772078230977, -0.019506406038999557, 0.02903197519481182, 0.04791457951068878, 0.013151729479432106]",4
sub-01,1back,ctg,01,0300100011,9-46d,"[-0.5449748635292053, 0.1931082159280777, -0.4472968578338623, -0.1672355979681015, -0.14948594570159912, -0.1692855954170227, -0.11463648080825806, -0.2425588220357895, -0.08870790153741837, -0.16137062013149261, -0.1557394564151764, -0.14021560549736023]",4
sub-01,1back,ctg,01,0313101011,10pp,"[-0.18646714091300964, -0.009138800203800201, 0.03401844576001167, -0.10716694593429565, 0.08214738219976425, -0.06577219814062119, 0.06360917538404465, -0.047531262040138245, 0.04810282215476036, 0.0055675688199698925, 0.05142320320010185, 0.003767189336940646]",4
sub-01,1back,ctg,01,0313101011,10v,"[-0.2479977011680603, 0.01719898171722889, -0.04115406423807144, -0.1082712858915329, 0.019252898171544075, -0.1260112226009369, 0.09342972189188004, -0.1035274788737297, 0.07900900393724442, -0.07652460038661957, 0.1136329248547554, -0.06481967121362686]",4
sub-01,1back,ctg,01,0313101011,46,"[-0.2811833620071411, 0.15824539959430695, -0.21147839725017548, -0.06228019297122955, 0.061009615659713745, -0.11783630400896072, 0.0944959819316864, -0.15240715444087982, 0.014407708309590816, -0.14008529484272003, 0.054555993527173996, -0.20300966501235962]",4
